number,type,answer_num,description,answers,pic_path,correct,weight,subject,accesebility 
134,3,0,"Корпорация, объединяющая ведущих производителей вычислительной техники и программного обеспечения, созданная в 1988 году с целью разработки и стандартизации методов оценки производительности современных компьютеров -  ... (аббревиатура). ",SPEC;spec;,no,0,5,11,0
135,1,7,Перечислите три основных состовляющих SPEC.,OSG;FPA;GRC;HPG;UDN;GPC;ITR;,no,1;4;6;,6,11,1
136,5,5,Сопоставте название теста SPEC и его назначение.,CPU2000;тесты вычислительной производительности;JVM98;виртуальный тест Java-машины;HPC96;тесты для HPC-систем;SFS97;тест производительности сетевой файловой системы;WEB99;тест для оценки производительности HTTP-серверов;,no,1122334455,8,11,0
178,3,0,Пакет CPU2000 состоит из двух групп тестов: CINT2000 и ...,CFP2000;cfp2000;,no,0,5,22,0
138,1,8,Какие языки программирования использовались для написания тестов SPEC?,Pascal;C и C++;Java;Perl;Fortran-77;Lisp;Prolog;Fortran-90;,no,2;5;8;,6,11,1
139,2,5,Для устранения влияния случайных факторов на результаты тестирования каждый тест SPEC выполняется как минимум ...,1 раз;2 раза;4 раза;5 раз;3 раза;,no,1:0;2:0;3:0;4:0;5:100;,5,11,0
140,1,9,Каким требованиям должен отвечать тест для ВС?,полнота;легкость в использовании;время выполнения не должно превышать 8 часов;масштабируемость;переносимость;репрезентативность;тест должен быть привязан к определенной архитектуре аппаратных средств;доступность;воспроизводимость;,no,1;2;4;5;6;8;9;,10,11,0
141,3,0,Коллекция различных типов тестов называется - ... тестов,пакетом;Пакетом;пакет;,no,0,5,11,0
142,5,6,Сопоставьте категорию теста и ее признак,"игрушечные тесты;маленькие тесты длиной в несколько сот строк исходного кода;микротесты;тесты для определения одной из основных колич. хар-к аппаратуры;ядро;фрагмент кода, взятый из реального приложения;синтетические тесты;тесты, не привязаные к какому-либо отдельному приложению;приложения;наиболее часто используемые программы для реализации задач;пакет тестов;коллекция различных типов тестов с преобладанием приложений;",no,112233445566,10,11,0
143,3,0,Список Top500 формируется по результатам теста ... ,Linpack;linpack;LINPACK;Линпак;ЛИНПАК;,no,0,6,11,0
144,3,0,Какая организация разработала тест NPB?,NASA;nasa;,no,0,5,11,1
145,2,5,Сколько ядер входит в состав теста NPB?,3;5;7;9;11;,no,1:0;2:100;3:0;4:0;5:0;,6,22,1
146,2,4,Как расшифровавыется аббревиатура MPI?,Memory passing interface;Message passing insight;Message passing interface;Multiple passing insigth;,no,1:0;2:0;3:100;4:0;,4,21,0
147,3,0,"Процессы приложений, использующих MPI, обмениваются друг с другом данными в виде ...",сообщений;Сообщений;,no,0,5,21,0
189,2,6,"Процессы приложений, использующих MPI, имеют ...","общие области кода, стека и данных;общие области кода, стека, раздельную область данных;общую область кода, раздельные области стека и данных;раздельные области кода, стека и данных;раздельные области кода, стека, общую область данных;раздельную область кода, общие области стека и данных;",no,1:0;2:0;3:0;4:100;5:0;6:0;,5,21,0
149,1,6,Какие категории функций MPI существуют?,Неблокирующие;Локальные;Глобальные;Блокирующие;Коммутационные;Коллективные;,no,2;3;4;6;,6,21,1
150,2,4,"Главное, для чего используется MPI - это ...",наиболее оптимальная загрузка процессоров;обеспечение межпроцессовой связи в параллельных программах;использование всей имеющейся свободной памяти;повышения быстродействия процессора;,no,1:0;2:100;3:0;4:0;,5,21,0
219,1,6,Обязательными признаками параллельных алгоритмов и программ являются ...,параллелизм;маштабируемость;локальность;модульность;сортируемость;упорядоченность;,no,1;2;3;4;,7,21,1
220,3,0,"Важнейший признак параллельной программы, который требует гибкости программы по отношению к изменению числа процессоров, называется ...",масштабируемостью;Масштабируемостью;масштабируемость;Масштабируемость;,no,0,13,21,1
153,5,3,Выполните сопоставление.,С+Pthreads;Расширение стандартного языка библиотечными функциями;С-GNS;Расширение стандартного языка специальными конструкциями;Occam;Новый язык программирования;,no,112233,5,21,1
154,5,5,Сопоставьте модель параллельного программирования и стандарт.,Модель передачи сообщений;MPI;Модель параллелизма по данным;HPF;Модель параллелизма по управлению;OpenMP;Модель параллелизма по данным и управлению;DVM;Гибридная модель параллелизма по управлению с передачей сообщений;OpenMP+MPI;,no,1122334455,10,21,0
155,2,4,Основной целью параллельных вычислений является ...,"загрузка процессоров на 100%;обеспечение совместной работы программ, изначально размещённых на различных компьютерах;ускорение решения задачи;использование всей имеющейся оперативной памяти;",no,1:0;2:0;3:100;4:0;,5,21,0
156,2,4,Основной целью распределенных вычислений является ...,"ускорение решения задачи;использование всей имеющейся оперативной памяти;загрузка процессоров на 100%;обеспечение совместной работы программ, изначально размещённых на различных компьютерах;",no,1:0;2:0;3:0;4:90;,5,21,1
196,3,0,"Точка параллельной программы, в которой процесс ждёт все остальные процессы, с которыми он синхронизирует свою работу, называется ...",барьером;Барьером;барьер;Барьер;,no,0,6,21,0
158,1,11,"Определите черты современного Фортрана (начиная с Фортрана 95), имеющие непосредственное отношение к параллельному программированию.",Операции над массивами и секциями массивов и присваивания массивам;Условное присваивание массивам под управлением логической маски;Расширяемость типов и операций;Оператор и конструкция FORALL;Полный комплект современных управляющих структур;Средства инкапсуляции для реализации абстрактных типов данных;Спецификация процедур без побочного эффекта;Поэлементные процедуры;Статический полиморфизм;Динамический полиморфизм и наследование;Встроенные процедуры для работы с массивами;,no,1;2;4;7;8;11;,6,21,1
229,1,7,Каких из нижеперечисленных стандартов Фортрана НЕ существует?,Фортран 66;Фортран 77;Фортран 88;Фортран 90;Фортран 95;Фортран 99;Фортран 2003;,no,3;6;,8,21,1
203,3,0,Спецификация MPI ориентирована на архитектуру с ... памятью.,распределенной;Распределенной;,no,0,5,21,0
231,1,6,"Определите программные системы, которые были разработаны в России.",MPI;DVM;GNS;HPF;НОРМА;OpenMP;,no,2;3;5;,10,21,1
205,2,4,Как расшифровывается аббревиатура HPF?,High Power Fortran;Hidden Performance Force;High Performance Fortran;Hidden Power Force;,no,1:0;2:0;3:100;4:0;,4,21,0
233,2,7,"Единственным языком, который без всяких оговорок можно назвать модульным, является язык ...",НОРМА;Clean;MC#;ADA;Erlang;Linda;Occam;,no,1:0;2:0;3:0;4:100;5:0;6:0;7:0;,7,21,1
234,2,5,На рисунке представлены отличительные особенности языка программирования ...,Chapel;X10;Java;Fortress;ZPL;,234.bmp,1:0;2:0;3:0;4:100;5:0;,8,21,1
208,5,8,"Сопоставьте параллельную ОС и фирму, выпустившую ее.",Compute Cluster Server 2003;Microsoft;Red Hat Enterprise Linux 5;Red Hat;SUSE LINUX Enterprise Server;Novell;Solaris;Sun Microsystems;Nexenta OS;Sun Microsystems;NetWare;Novell;HP-UX;Hewlett-Packard;OpenVMS;Hewlett-Packard;,no,1122334455667788,8,21,0
174,1,5,Какие общие свойства характерны для RAID-массивов?,"RAID - это набор физических дисков, управляемых ОС и рассматриваемых как один логический диск;RAID - это набор логических дисков, расположенных на одном физическом;данные RAID-массива распределены по физическим дискам;избыточного дискового пространства нет;избыточное дисковое пространство обычно используется для хранения доп. информации;",no,1;3;5;,5,11,0
237,3,0,"Повышение производительности дисковой подсистемы в RAID достигается с помощью приема, называемого ...",расслоением;Расслоением;расслоение;расщеплением;Расщеплением;расщепление;Расщепление;Расслоение;,no,0,10,30,1
168,1,6,"В RAID-массивах хранится  дополнительная информация, позволяющая восстановить искаженные или утерянные данные. Укажите виды такой информации.",дублирование;биты паритета;код Хемминга;биты ассоциации;все вышеперечисленное;ВТВ-код;,no,1;2;3;,6,11,0
177,3,0,RAID какого уровня показан на рисунке? (Ответ в виде цифры),2;RAID2;RAID 2;,239.bmp,0,5,11,0
170,5,7,Сопоставьте аббревиатуру ВС и ее организацию памяти.,"UMA;ВС с общей памятью,  однородный доступ к памяти;NUMA;ВС с разделяемой памятью, неоднородный доступ к памяти;COMA;ВС с разделяемой памятью, только кэш-память;CC-NUMA;ВС с разделяемой памятью, кэш-когерентный доступ к неоднородной памяти;NORMA;ВС с распределенной памятью без прямого доступа к удаленной памяти;DSM;ВС с распределенной совместно используемой памятью;NCC-NUMA;ВС с программным обеспечением когерентности;",no,11223344556677,10,8,0
214,1,8,"Отметьте возможности, которые имеются для поддержания когерентности в мультипроцессорных системах.",совместно используемая кэш-память;некэшируемые данные;кэшируемые данные;широковещательная запись;протоколы наблюдения;протоколы состояния;протоколы на основе справочника;протоколы на основе таблиц;,no,1;2;4;5;7;,10,14,0
172,3,0,Ответственность за поддержание когерентности всех кэшей многопроцессорной системы возлагается на контроллеры кэшей в протоколах ...,наблюдения;Наблюдения;,no,0,5,7,0
173,1,7,Какие из перечисленных протоколов относятся к протоколам наблюдения?,протокол сквозной записи;Tang;Synapse;Illinois;Stenstrom;Dragon;Archibald;,no,1;3;4;6;,6,7,0
174,1,7,Какие из перечисленных протоколов относятся к протоколам на основе справочника?,пртокол однократной записи;Berkeley;Stenstrom;MESI;Censier;Tang;Firefly;,no,3;5;6;,6,7,0
245,2,6,Диаграмма состояния какого протокола показана на рисунке?,протокол однократной записи;Berkeley;Stenstrom;Illinois;Firefly;Tang;,245.bmp,1:0;2:0;3:0;4:100;5:0;6:0;,8,14,1
246,2,6,Диаграмма состояния какого протокола показана на рисунке?,протокола сквозной записи;Archibald;Firefly;Illinois;Censier;Synapse;,246.bmp,1:0;2:0;3:100;4:0;5:0;6:0;,8,14,1
177,3,0,Какой протокол наблюдения является наиболее популярным? ,MESI;Mesi;mesi;протокол MESI;,no,0,8,7,0
178,2,5,Какие протоколы обеспечения когерентности характерны для больших cc-NUMA систем?,протоколы наблюдения;протоколы состояния;протоколы на основе справочника;некэшируемые протоколы;протоколы с обнулением;,no,1:0;2:0;3:100;4:0;5:0;,5,7,0
179,2,5,При исползовании протокола на основе справочника собственно справочник хранится ...,в кэше какого-нибудь одного процессора;в каждом кэше хранится часть справочника;в оперативной памяти;на жестком диске;нигде не храниться;,no,1:0;2:0;3:100;4:0;5:0;,5,7,0
180,3,0,"В настоящее время известны три способа реализации протоколов обеспечения когерентности кэш-памяти на основе справочника: полный справочник, ограниченные справочники и ... справочники. ",сцепленные;Сцепленные;,no,0,5,7,0
181,2,4,На рисунке показана организация кэш-памяти с ...,с полностью ассоциативным отображением;с частично-ассоциативным отображением;с прямым отображением;с отображением секторов;,252.bmp,1:0;2:0;3:100;4:0;,4,1,0
190,3,0,На рисунке показана организация кэш-памяти с ... отображением.,полностью ассоциативным;Полностью ассоциативным;ассоциативным;Ассоциативным;,253.bmp,0,10,17,1
225,4,4,Расположите перечисленные стратегии замещения данных в кэш-памяти в порядке уменьшения их относительной эффективности.,Алгоритм замещения LRU;Стратегия с использованием принципа FIFO;Алгоритм замещения LFU;Случайное замещение (RAND);,no,1234,5,14,1
226,5,5,Сопоставьте аббревиатуру стратегии обновления оперативной памяти и ее название на руссом языке.,RWB;метод регистровой обратной записи;WTWA;метод сквозной записи с распределением;FRWB;метод флагово-регистровой обратной записи;WTNWA;метод сквозной записи без распределения;FWB;метод флаговой обратной записи;,no,1122334455,8,14,1
231,2,4,"Технология, в которой простаивающие ресурсы физического процессора отдаются «в подчинение» логическому чипу, называется ...",Super-Threading;Hyper-Process;Super-Process;Hyper-Threading;,no,1:0;2:0;3:0;4:100;,6,24,0
186,3,0,Введите аббревиатуру (на англ. языке) технологии явного параллелизма на уровне команд.,EPIC;epic;,no,0,6,24,0
187,2,5,На основе какой  архитектуры построен процессор Itanium?,CISC;RISC;VLIW;EPIC;SIMD;,no,1:0;2:0;3:0;4:100;5:0;,5,24,0
237,4,4,Расположите архитектуры процессоров в порядке их появления.,CISC;RISC;VLIW;EPIC;,no,1234,6,24,0
189,2,5,Первым 64-разрядным процессором стал процессор ...,MIPS R10000;Athlon FX-55;Alpha 21264;Itanium II;PA-8800;,no,1:100;2:0;3:0;4:0;5:0;,4,24,1
190,3,0,В ВС фирмы SUN обычно исплользуются процессоры ...,SPARC;sparc;,no,0,5,1,0
269,2,4,В каком отечественном ВК нашел применение микропроцессор МЦСТ-R500?,Эльбрус 90;Эверест 93;Эльбрус 90-микро;Эверест 93-микро;,no,1:0;2:0;3:100;4:0;,8,24,1
192,5,8,"Сопоставьте название процессора и фирму, которая его выпускает.","Opteron;AMD;Alpha 21264;DEC;PA-8800;HewlettPackard;PowerPC 970;IBM;UltraSPARC T1;Sun;Xeon;Intel;TMS320Cxx;Texas Instruments;NM6403;НТЦ ""Модуль"";",no,1122334455667788,10,11,0
193,3,0,Основным понятием программы на языке Occam является ...,процесс;Процесс;,no,0,6,21,0
209,3,0,На рисунке представлена базовая внутренняя архитектура ... ,транспьютера;транспьютер;Транспьютера;Транспьютер;,273.bmp,0,5,6,0
246,2,5,На рисунке показан процесс выполнения операции на ...,векторной ВС;ассоциативной ВС;систолической ВС;волновой ВС;ВС на базе транспьютеров;,274.bmp,1:0;2:0;3:0;4:100;5:0;,5,24,1
247,3,0,На рисунке показан типичный ...  для алгоритма декомпозиции. ,Профиль параллелизма;профиль параллелизма;профиль;,276.bmp,0,5,1,0
212,3,0,"Общий объем вычислительной работы, выполненной начиная со стартового момента ts до момента завершения te, рассчитывается по формуле ... (ответ в виде строчной буквы без скобки)",а;а);,277.bmp,0,5,1,0
213,5,4,"Сопоставьте вычислительную модель и граф, который оттображает ее идею.",фон-неймановская;а;потоковая;б;макропотоковая;в;редукционная;г;,278.bmp,11223344,6,2,0
250,1,9,Все известные потоковые ВС могут быть отнесены к двум основным типам: ...,синхронным;асинхронным;статическим;динамическим;циклическим;ациклическим;с согласованием;без согласования;верных ответов нет;,no,3;4;,4,24,0
251,1,6,По каким схемам обычно реализуются динамические потоковые ВС?,архитектура с отмеченными токенами;архитектура с помеченными токенами;архитектура с адресуемыми токенами;архитектура с косвенно адресуемыми токенами;архитектура с явно адресуемыми токенами;архитектура без токенов;,no,2;5;,5,24,0
252,2,7,На рисунке показана структура ...,матричной ВС;векторной ВС;ассоциативной ВС;систолической ВС;волновой ВС;потоковой ВС;редукционной ВС;,281.bmp,1:0;2:0;3:0;4:0;5:0;6:100;7:0;,5,24,0
253,2,7,Кем впервые была предложена статическая потоковая архитектура?,Густафсоном;Амдалом;Муром;Деннисом;Флинном;Фенгом;Джонсоном;,no,1:0;2:0;3:0;4:100;5:0;6:0;7:0;,5,24,0
283,1,9,Какие из нижеперечисленных ВС относятся к статическим потоковым?,LAU System;SIGMA-1;STARAN;TI's Distributed Data Processor;Hughes Dataflow Multiprocessor;PEPE;NEC Image Pipelined Processor;ПС-2000;PATTSY;,no,1;4;5;7;9;,14,24,1
255,2,6,Структура  процессорного элемента какой ВС показана на рисунке?,векторной ВС;матричной ВС;систолической ВС;статической потоковой ВС;потоковой ВС с помеченными токенами;потоковой ВС с явно адресуемыми токенами;,284.bmp,1:0;2:0;3:0;4:0;5:100;6:0;,5,24,0
285,1,9,Какие из нижеперечисленных ВС относятся к динамическим потоковым?,SIGMA-1;SDFA;T414;DDDP;MP-1;LAU System;NTT's Dataflow Processor Array System;GF-11;PATTSY;,no,1;2;4;7;9;,12,24,1
286,1,4,Отметьте формы макропотоковой обработки.,без блокирования;без согласования;с блокированием;с согласованием;,no,1;3;,8,30,1
287,1,5,Перечислите модели редукционных систем.,символьная модель;строчная модель;цифровая модель;графовая модель;сигнальная модель;,no,2;4;,8,24,1
291,2,4,Сколько существует классов для систем типа Беофульф?,2;3;4;5;,no,1:100;2:0;3:0;4:0;,6,17,1
293,5,2,Сопоставьте рисунок и архитектуру HA-кластера.,а);архитектура без разделения ресурсов;б);архитектура с общими дисками;,293.bmp,1122,4,30,1
294,3,0,"Кластерная система, состоящая из различных (разнородных) вычислительных узлов (см. рисунок), называется ...",гетерогенной;Гетерогенной;гетерогенная;Гетерогенная;гетерогенной системой;гетерогенным кластером;гетерогенный кластер;,294.bmp,0,7,17,1
211,2,4,Какая топология кластеров приведена на рисунке?,топология кластерных пар;топология N+1;топология NxN;топология с полностью разделенным доступом;,295.bmp,1:0;2:100;3:0;4:0;,4,9,1
212,5,6,"Сопоставьте формулу и функцию маршрутизации данных, которая описывается этой формулой.","S(bm, bm-1, …, b1)=(bm-1,bm-2, …, b1, bm);Идеальное тасование;U(bm, bm-1, …, b1)=(b1, bm, …, b2);Отсутствие тасования;Si(bm, bm-1, …, bi, …, b1)=(bm, …,bi+1, bi-1, …, b1, bi);Субтасование по i-му биту;Si(bm, bm-1, …, bi, …,b1)=(bm-1, …,bi+1, bm, bi, …, b1);Супертасование по i-му биту;В(bm, bm-1, …, b1)=(b1,bm-1, …, b2, bm);Баттерфляй;S(bm, bm-1, …, b1)=(b1,b2, …, bm-1, bm);Реверсирование битов;",no,112233445566,12,20,0
265,3,0,Пусть время переключения коммутирующего элемента tкэ = 1 c и время прохождения сигнала по линиям связи не учитывается. Чему равно время прохождения  сигнала от входа сети Бенеша 16х16 до ее выхода? (Ответ в виде цифры).,7;,no,0,8,29,0
214,2,7,"На конвейере выполняются друг за другом команды VDIV Ai,Bi,Ci; VDIV Dj,5,Ej. По какой формуле (см. рисунок) рассчитывается производительность конвейера Р2 при выполнении второй команды.",а);б);в);г);д);е);ж);,298.bmp,1:0;2:0;3:0;4:100;5:0;6:0;7:0;,5,4,0
215,1,5,По характеру локально-пространственых связей систолические системы бывают:,одномерные;двухмерные;трехмерные;четырехмерные;пятимерные;,no,1;2;3;,5,6,0
300,3,0,Каким устройством реализуется конкретный вид коммутации в БКЭ?,сдвоенным мультиплексором;Cдвоенным мультиплексором;сдвоенный мультиплексор;Сдвоенный мультиплексор;,no,0,10,20,1
302,2,4,При  t стремящемся к бесконечности функция готовности Kr(t),Убывает;Возрастает;Отсается неизменной;Стремиться к постоянной величине;,no,1:0;2:0;3:0;4:100;,8,30,1
270,2,4,"Если ресурсы системы меньше ресурсов, необходимых для решения задачи в установленное время, то коэффициент готовности системы будет","отрицательным;будет равным единице;от 0,1 до 0,99;равным нулю;",no,1:0;2:0;3:0;4:100;,5,27,0
235,1,7,Модель ВС представлена на рисунке. Для решения задачи на данной системе необходимо  иметь хотя бы,Один резервный блок памяти;Одно резервное устройство ввода-вывода;Один резервный процессор;Два процессора;Три процессора;Четыре блока памяти;Одно устройство ввода-вывода;,22.bmp,4;7;,5,11,0
220,2,4,В ВС с последовательным соединением вероятность безотказной работы определяется выражением,вариант в);вариант а);вариант б);нет формулы;,23.bmp,1:0;2:100;3:0;4:0;,5,11,0
221,2,3,Вероятность безотказной работы ВС при последовательном соединении,Не может быть выше вероятности безотказной работы самого надежного из ее элементов;Не может быть выше средневзвешенной вероятности безотказной работы ее элементов;Не может быть выше вероятности безотказной работы самого ненадежного из её элементов;,no,1:0;2:0;3:100;,4,11,0
307,2,4,Биномиальный коэффициент определяется формулой:,вариант а);вариант б);вариант в);нет формулы;,24.bmp,1:0;2:0;3:100;4:0;,6,30,1
223,1,5,По схеме включения резерва  выделяют,общее резервирование;комбинированное резервирование;контрольное резервирование;раздельное резервирование;смешанное резервирование;,no,1;4;5;,5,11,0
312,1,5,По состоянию резерва в ВС выделяют ,нагруженное резервирование;скользящее резервирование;облегченное резервирование;ненагруженное резервирование;резервирование замещением;,no,1;3;4;,10,30,1
225,2,4,Отношение числа резервных элементов к числу резервируемых ими основных элементов называется:,Кратностью резервирования;Отношением резервирования;Коэффициент надежности;Выигрышем в надежности;,no,1:100;2:0;3:0;4:0;,4,11,0
314,2,3,В системах с нагруженным резервированием надежность резервных элементов:,Равна надежности основных элементов;Зависит от момента переходы их в основное состояние;Вычисления надежности громоздки и неоднозначны;,no,1:100;2:0;3:0;,7,30,1
227,3,0,"Определить коэффициент готовности G вычислительной системы, содержащей два процессора и два блока памяти. Вероятности безотказной работы процессора и блока памяти соответственно 0,8 и 0,7.  Для решения задачи в установленное время достаточно одного процессора и одного блока памяти.  Ответ округлите до 2х значащих цифр после запятой. ","0,87;0.87;0,8736;",no,0,10,12,0
228,3,0,"Определить коэффициент готовности G вычислительной системы, содержащей два процессора и два блока памяти. Вероятности безотказной работы процессора и блока памяти соответственно 0,9 и 0,8. Вероятность безотказной работы переключающего устройства принята равной единице. Для решения задачи в установленное время достаточно двух процессоров и одного блока памяти. Ответ округлите до 3х значащих цифр после запятой.","0.778;0,778;0,777;0.777;0,7776;",no,0,10,12,0
229,3,0,"Определить коэффициент готовности G вычислительной системы, содержащей 3 одинаковых блока. Вероятность безотказной работы блока P=0,86. Вероятность безотказной работы переключающего устройства принята равной единице. Для решения задачи в установленное время достаточно двух блоков. Ответ округлите до 2 значащих цифр после запятой.","0,95;0.95;0,946688;",no,0,10,12,0
230,3,0,"Определить коэффициент готовности ВС, состоящей из 1 процессора, 3 блоков памяти и 2 устройств ввода-вывода. Вероятности безотказной работы процессора, блока памяти и устройства ввода-вывода соответственно 0,95, 0,8 и 0,75. Для решения задачи в установленное время достаточно 1 процессора, 1 блока памяти, 2 блока УВВ. Ответ округлите до 3-х значащих цифр после запятой.","0,491625;0,492;0,491;0,5301;0,5301;0.530;0,530;",no,0,10,12,0
231,3,0,"Определить коэффициент готовности ВС, состоящей из 2 процессоров, 4 блоков памяти и 3 устройств ввода-вывода. Вероятности безотказной работы процессора, блока памяти и устройства ввода-вывода соответственно 0,9, 0,8 и 0,75. Для решения задачи в установленное время достаточно 1 процессора, 4 блоков памяти, 3 УВВ. Ответ округлите до 3-х значащих цифр после запятой.","0,171072;0,171;",no,0,10,29,1
232,2,3,"Одна из важных характеристик системы — вероятность ненулевого ожидания заявок Рr (w>0), т. е. вероятность того, что в момент поступления очередной заявки...",все N процессоров заняты обслуживанием.;не все N процессоров заняты обслуживанием;часть процессоров свободна;,no,1:100;2:0;3:0;,8,30,1
250,1,6,Увеличение числа процессоров при условии постоянства их суммарного быстродействия приводит к ,"улучшению таких характеристик, как среднее время ожидания и средняя длина очереди;ухудшению таких характеристик, как среднее время ожидания и средняя длина очереди;ухудшению характеристик - среднее время пребывания и среднее число заявок, находящихся в системе;улучшению характеристик - среднее время пребывания и среднее число заявок, находящихся в системе;улучшению характеристик - средняя длина очереди и среднее число заявок, находящихся в системе;ухудшению характеристик - среднее время пребывания и среднее время ожидания заявок в системе;",no,1;4;,6,17,1
251,3,0,"Одна из лучших отечественных машин, разработанная под руководством академика С. А. Лебедева в 1966 г., в которой широкое применение нашел конвейер команд ",БЭСМ – 6;БЭСМ-6;бэсм-6;БЭСМ6;БЭСМ 6;,no,0,5,4,0
252,2,5,В 1969 году Control Data Corporation выпустила компьютер ,CDC – 7600;CDC – 600;DDC – 7600;CC – 7600;CDC – 700;,no,1:100;2:0;3:0;4:0;5:0;,10,17,1
253,3,0,Векторно-конвейерный компьютер Cray-1 был выпущен в ..... году,1976;,no,0,5,4,0
331,2,4,"Способ преобразования последовательности команд, при котором не учитывается смысловое значение команд и данных, а учитывается только их форма это",синтаксическая векторизация;семантическая векторизация;лексическая векторизация;формальная векторизация;,no,1:100;2:0;3:0;4:0;,6,21,1
255,3,0,Общее число ступеней конвейера - ...,длина конвейера;Длина;длина;Длина конвейера;,no,0,5,4,0
256,2,4,"В общем случае, если конвейерное устройство содержит n ступеней, а каждая ступень срабатывает за одну единицу времени, то время обработки L независимых операций этим устройством составит ",L+n;L+n-1;L+n+1;L+n-k;,no,1:0;2:100;3:0;4:0;,4,4,0
257,1,9,Основными компонентами векторного процессора являются ,арифметическое конвейерное устройство (АКУ);логическое конвейерное устройство (ЛКУ);Конвейерное функциональное устройство (КФУ);локальная память;скалярный процессор;память данных;УУ чтением\записью;адресный генератор;УУ векторными операциями;,no,1;4;7;8;9;,8,4,0
258,3,0,"Как называется буферизация, предназначенная для тех ВКС, в которых времена задержек на каждой ступени различны.  ",межстадийной;межстадийная;,no,0,10,17,1
259,2,4,Как решается проблема доступа к памяти в системе Cray X-MP ,"память разделена на четыре секции, каждая из которых имеет четыре порта;память разделена на три секции, которые имееют четыре порта;память разделена на две секции, каждая из которых имеет два порта;общая память имеет шесть портов;",no,1:100;2:0;3:0;4:0;,10,17,1
260,1,6,Типовой набор команд для ВКС включает:,арифметические операции;скалярные операции;операции сравнения;команды загрузки и записи в память;команды загрузки и записи в канал ввода/вывода;векторные команды;,no,1;2;3;4;5;6;,12,17,1
261,1,6,"Если операнды (результаты) находятся в регистрах, то векторная команда задает:","номер регистра;номер операнда;номер ячейки с данным;число элементов;тип данных;еще некоторую дополнительную информацию, необходимую для организации доступа.;",no,1;4;5;6;,10,17,1
343,1,6,"Выберите два фактора, снижающие производительность компьютера на реальных программах, которые определяют принципиальную невозможность достижения пиковой производительности на векторно-конвейерных устройств. ",время разгона векторной команды;время разнесения скалярной команды;время сопоставления команд;секционирование данных;секционирование длинных векторов;секционирование данных в буфере обмена;,no,1;5;,10,30,1
299,2,4,"Связь между узлами сети обычно реализуется по двухточечной схеме, именуемой ",point-by-point;point-to-point;point-to-bus;bus-by-point;,no,1:0;2:100;3:0;4:0;,2,30,1
345,3,0,"В каких сетях каждый узел одновременно является как терминальным узлом, так и коммутатором, и сообщения пересылаются между терминальными узлами напрямую. ",с непосредственными связями;С непосредственными связями;сети с непосредственными связями;сети с прямыми связями;сеть с прямыми связями;с прямыми связями;,no,0,15,30,1
265,1,6,Тремя важнейшими атрибутами  сети межсоединений  (CMC) являются,стратегия передачи вообщений;стратегия синхронизации;стратегия коммутации;стратегия подключения;стратегия переключения коммутаторов;стратегия управления;,no,2;3;6;,10,29,1
347,2,5,На рисунке изображена сеть с ,разделяемым управлением;централизованным управленим;контролируемым управлением;децентрализованным управлением;сетевым управлением;,30.bmp,1:0;2:100;3:0;4:0;5:0;,5,26,1
348,1,7,Что из перечисленных параметров НЕ относится к метрикам сетевых соединений,порядок сети;размер сети;число связей;пропускная способность;ширина задержки бисекции;задержка сети;число БКЭ;,no,1;5;7;,12,19,1
349,2,3,Линейная топология ,не обладает свойством полной симметричности;обладает свойством полной симметричности;обладает свойством частичной не симметричности;,no,1:100;2:0;3:0;,4,19,1
350,3,0,сетьToken Ring имеет ...... топологию,кольцевую;кольцо;кольцевую топологию;Кольцевую;,no,0,6,19,1
